q1,q2,is_duplicate
"Can I make 50,000 a month by day trading?","Can I make 30,000 a month by day trading?",0.0
What are stereotypes about the United Kingdom?,What do Americans think about the United Kingdom?,0.0
Can I overdraft my Wells Fargo account?,What is Wells Fargo's overdraft policy?,0.0
HOw do I speak Fluent English?,How can I understand english?,1.0
How do you answer a question on Quora?,What is the best thing you've ever learned on Quora?,0.0
How do I edit my devices on my Google play account?,How do I add a second device to a Google Play account?,0.0
Can a Muslim guy date a non Muslim girl? Is it based on how religious the individual is or are there other factors to it?,What do non-Muslims expect from Muslims?,0.0
Would you switch from Canon 6D to Leica D-LUX 109?,What tripod should I get for my Canon 6D?,0.0
What is a good substitute for milk in macaroni and cheese?,What are some good cheese substitutes for Havarti cheese?,0.0
What does a wet vagina feel like for a man?,Why does it feel like there is a ball in my vagina?,0.0
How much is 30 kV in HP?,Where can I find a conversion chart for CC to horsepower?,0.0
How many years Britain ruled India?,What is the standard amount of time off given for an international relocation?,0.0
Did any Indian writers/authors ever use a pen name?,"How badly did Donald Trump miscalculate his run would have on his ""brand"" value?",0.0
Is (male) circumcision required in Islam?,Is circumcision allowed in Islam?,0.0
Why is the number for Skype at 1-855-425-3768 always busy?,How could I get Skype to work on an android 4.1.1 phone?,0.0
Should I learn AngularJS 1.5 instead of AngularJS 2 if I don't know TypeScript?,Which should I start with: Angular 2 or AngularJS 1?,0.0
Which are some commonly mispronounced words?,What are some of the most commonly mispronounced English words?,0.0
Does Fab currently offer new employees stock options or RSUs?,Does Uber currently offer new employees stock options or RSUs?,0.0
"On Facebook, how can I add mutual friends?",Can I see an ordered list of the people with whom I share the most mutual friends on Facebook?,0.0
How do I find a startup accelerator?,How do startup accelerators give you the funding?,0.0
What is the best way to get you food stamp card?,How can I get food stamps in college?,0.0
What is an actinomorphic flower?,Flowers: What is vaijanti?,0.0
What is the aim?,What is the aim of science?,0.0
Which psychological need does 'collecting' fulfill?,Why do people collect things?,0.0
What can I do after completing BDS?,What can we do after completing BDs?,1.0
"In an operating room, when two surgeons of equal experience disagree on a surgical procedure, how is the tie broken?",Doctors: How do surgeons hold out on surgeries more than 6 hours long? Do they rest during the operation?,0.0
What are common required and elective courses in agriculture?,What are common required and elective courses in philosophy?,0.0
Is there any way to get rid of gynecomastia?,How can I get rid of man boobs?,1.0
If dark energy is created with expansion can infinite of it be created?,"If energy is not conserved in an expanding universe, is potential energy infinite (the energy that can be created is infinite)?",1.0
Is a pinkish discharge normal in early pregnancy? What causes it?,What did nicholas piramal do with 17500 cr?,0.0
How can I get entry in MIT?,What are the requirements for selection into MIT?,1.0
What are some of the most surreal questions asked on Quora?,What is the most surreal question on Quora?,1.0
I am 29Y old. I have diabetic Type 2. Recently my sugar level was increased to 150 (fasting). I do exercise and eat whole grains. why this happening?,Where can I find the best Security Cameras?,0.0
How do I log out of my Gmail account on my friend's phone?,How can I know who logged in to my Gmail account? (by telling his IP address or device name)?,0.0
What is the difference between gross salary and CTC?,"There seems to be a difference between my weekly paycheck and the yearly salary my employer agreed upon, how does that work?",0.0
Are exocytosis and endocytosis examples of active or passive transport?,What are examples of passive transport in cells?,0.0
How imminent is world war III?,Are we heading toward World War 3?,1.0
How do I utilize free time to avoid depression?,Can a person graduating from IIMs like LIK and even the new IIMs like Ranchi and Trichy ever catch up to the graduates from ABC and get a similar package?,0.0
What is the problem with controlled fusion?,Why haven't we developed a fusion reactor capable of generating more energy than it consumes? What are the problems we face?,0.0
What is purpose of life?,What's the purpose of life? What is life actually about?,1.0
What is rank at 550 marks in NEET 2016?,What will be my rank in NEET 2016 if my marks is 391?,0.0
Is the soul immortal?,Why is the soul immortal?,1.0
What Anna Hazare think about PM Modi?,What do you people think of Mr. Arvind Kejriwal and his AAP?,0.0
I'm transferring to a school with a US curriculum (taking the IBDP) from a Philippine school w/ a percent average grading system. How do I get my GPA?,"I am in tenth grade at a high school in Ontario, Canada. I would really love to do an exchange with a student from Europe. Any ideas on how I can go about doing this?",0.0
What is the difference between IT and computer science engineering?,What are the differences between computer science and computer engineering?,0.0
"What are the stages of breaking up between couple? I mean, what happens after the breaking up emotionally whether its a male or female?","Who is affected more by a breakup, the boy or the girl?",0.0
Why did Venuetastic fail?,How much does it cost to book a good wedding venue?,0.0
I missed the IIT. What should I do?,"When should I expect my joining date for Accenture, The timeline shows its 24 dec 2016 and I havent recieved any updates from the Organisation?",0.0
Considering the current trend of information technology what is the future of print media?,What is this model's name? I see her everywhere.,0.0
What can make Physics easy to learn?,How can you make physics easy to learn?,1.0
At what cost does so much privacy as in Germany come? What else is lost to gain so much privacy?,Are there any people who genuinely enjoy salad with no dressing?,0.0
What is your view on the recent demonetization in India?,What are your views on demonetization of â‚¹500 &amp; â‚¹1000 notes in India?,1.0
How many words are actually needed to learn for the GRE and what is the correct method to prepare for the GRE verbal? ?,How can I get best score in GRE?,0.0
"Which car services are available in Normal, IL? How good are they compared to taxis and relative to each other?",Which car services are available in Atlanta? How good are they compared to taxis and relative to each other?,0.0
What behavioral adaptations do pandas have?,What behavioral adaptations do red pandas have?,0.0
How do I post a question that was marked as needing improvement?,"Why was my question marked as ""needs improvement?""",1.0
What could be Narendra Modi's next move after demonetization?,What is next step after demonetization?,1.0
Why are so many Quora users posting questions that are readily answered on Google?,Why do people ask Quora questions which can be answered easily by Google?,1.0
Why is C the best programming language?,"Lua and C, which one is the best programming language for embedded systems?",0.0
How headphones work as an Antenna to play FM radio channels on Mobile phones? Why mobile companies doesn't install the same inbuilt Antenna on phones to be able to play FM without the headphones?,Why don't phones have a built-in FM antenna?,0.0
Will baking soda help pass a urine test?,How does baking soda help you pass a drug test?,1.0
Daniel Ek: When an we expect Spotify in India?,Daniel Ek: Are there any future plans of releasing Spotify in India?,1.0
Which is the best earphone with deep bass under 1000?,Which is the Best earphones under Rs 1000?,1.0
"If someone wants to open a commercial FM radio station in any city of India, how much does it cost and what is the procedure?","I want to make a travel commercial/clip video HD , For India and New Zealand. How much will it cost?",0.0
How I start prepare for UGC net English literature latest syllabus?,How do I prepare for Net JRF in English literature?,1.0
What is your review of Performance Testing?,What is performance testing?,0.0
What is the best book ever made?,What is the most important book you have ever read?,1.0
How much do olympic gold medalists earn?,How much does an Olympic gold medalist earn in China?,0.0
"What is Russian president Vladmir Putin like as a person, to his closest friends and family?","When did Putin become a public person, and what was his ""rise to fame"" like?",0.0
Are Canada Geese really Canadian?,What do Canadians call Canada?,0.0
How competitive is the hiring process at Republic Bank?,How competitive is the hiring process at S &amp; T Bank?,0.0
How on earth would I dress like a workout guy from the year 1990 in the summer?,How would I dress like a workout guru from the year 1990 in the summer?,1.0
"What makes a programmer ""good?""",What makes a good programmer great?,1.0
What are the most important books ever written?,What is the most important book you have ever read?,1.0
What are the differences between larceny and robbery?,What is the difference between the words burglary and robbery?,0.0
What will most likely cause World War III?,Is World War III imminent?,0.0
How do I prepare for software interviews?,What are the best ways to prepare for software interviews?,1.0
What does the Quora website look like to members of Quora moderation?,How does Quora look to a moderator?,1.0
What area of games programming is most mathematically involved and suited to a math major?,"If one was to go about learning Python to be able to apply it to his area of study (Major in Chem minor in Math), what applications of Python could be most useful when applying for a job?",0.0
What is Quora's algorithm for sorting answers to a single question?,How does the ranking of answers on Quora work?,0.0
What is it like to study math at UCLA?,Could USC buy UCLA?,0.0
Is it normal to have a dark ring around the iris of my eye?,What causes a dark ring around the iris? How should it be treated?,0.0
Does it matter whether humans are selfish or evil?,Does it matter whether humanity is evil or not?,1.0
What is the Hizmet movement?,What is the GÃ¼len movement?,1.0
Is there a different price over the Internet than in person when trying to book a room in Mexico City from the US?,Why is Mexico City dangerous?,0.0
How long can raw and cooked sausage last refrigerated?,How long does onigiri last if left refrigerated? How can it be kept longer?,0.0
What are movies with incest scenes?,Are there any good incest movie?,1.0
How do I stop being addicted to porn?,How can I stop watching porn?,1.0
Do Trump voters care that he has reneged all his campaign promises?,How will Trump supporters react once they realize he can't or won't keep his campaign promises?,1.0
What is solution to Kashmir issue?,Is it possible for the Sharif government to resolve the conflicts in Kashmir?,0.0
Will it help CIBIL score if I pay off my written-off amount?,Does my CIBIL score gets impacted if I only pay the minimum due amount?,0.0
What is the funniest joke you know?,What is the funniest joke of all time?,1.0
What are the rights of a prisoner?,"If I am in prison, what rights would I have?",1.0
What is web application?,What is the web application framework?,0.0
Why I feel dizzy when I am playing some 3D games but others do not make me feel like this? Are there any tricks in developing 3D games to avoid this?,3D Rad: How can I make a mission-based game?,0.0
Could CAT exam and MAT exam take place on same day (4th December 2016)?,Is it necessary to learn vedic maths and spending time on short tricks for cat 2016 exam?,0.0
Are there any differences between however and nevertheless?,What's the difference between between and among?,0.0
How can I become a true computer science engineer?,How do I become a good computer science engineer?,1.0
What do you do if you had a bad dream?,How do you not get bad dreams?,0.0
Who is the most academically qualified Bollywood celebrity?,Which bollywood celebrity has his/her own jet?,0.0
How can eating prunes help during a constipation?,Does eating prunes help with constipation?,1.0
Can anyone predict my birth chart?,What can you tell me regarding this birth chart?,0.0
Why do I get punished by Quora moderators when I put Israel and Judaism in a negative light?,How do I excel in computer sciece &amp; programing without wasting four years in CS degree in Indian engineering college?,0.0
How can I grow taller at 17?,How can you increase your height?,0.0
What are the differences between POCSO and sexual offenses in the IPC?,Do we need the IPC section 375?,0.0
What does taking advantage of someone mean?,Is it worse to take advantage of someone or be materialistic?,0.0
What are the best riddles by the Riddler (Batman)?,Who was the best villain in the Nolan Batman films?,0.0
Can I recover my email if I forgot the password?,What should I do if I forgot my email password?,1.0
Which are the best books to understand calculus?,What are good books to self study calculus?,1.0
What is the best place to celebrate New Year 2017 in Hyderabad?,Which is the best place to celebrate New Year 2015 in Hyderabad?,0.0
What does it feel like to be beautiful?,What does it feel like to be attractive and desired by many?,0.0
What is the story of Kohinoor (Koh-i-Noor) Diamond?,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,0.0
How can I install OBB/data file on an Android?,I want to install EXE extension files in Android mobile. Is it possible?,0.0
Are there People who are willing to give free lectures or conduct free workshop in India colleges?,"Almost two weeks in on Prozac, why do I still feel antisocial and still don't want to go to events? Why does my social behavior and mood change daily?",0.0
What are some of the most gruesome causes of death?,What causes death by hanging?,0.0
How do I know if my spouse is my soulmate?,How can I know that he is my soulmate?,1.0
What's the best school in the world?,What are the best schools in the world to study cinema?,0.0
What's the funniest highbrow joke you've ever heard?,What are the funniest jokes / stories you ever heard?,1.0
When are the roads most slippery during rain?,During rain what should I do for precautions of flooding road?,0.0
What are the most interesting foods you have eaten in any country?,What is the most delicious dish you've ever eaten and why?,1.0
"Is it possible to make doctor's review app using which patients can share anonymously all treatment given by that doctor, suggested medicines,?",What is the warranty period of the Mi In-Ear Headphones Pro?,0.0
How did Darth Vader fought Darth Maul in Star Wars Legends?,Does Quora have a character limit for profile descriptions?,0.0
Is drinking 4 liters of water each day unhealthy?,How many liters of water should I drink if I run 5kms daily?,0.0
Would a woman in the Catholic Church be shunned or ostracized for having a sexual relationship with a priest?,What would happen if a woman sued the Catholic Church for not allowing them to become a priest?,0.0
What are the five most popular sugar daddy websites?,What is it like to date a cougar or a sugar daddy?,0.0
How can I open DMart store in India? Is there any franchise for that?,How do I get reliance digital store franchise?,0.0
My ex-girlfriend is suffering from malaria. I have a deep urge of visiting her but I have my placements on. I have no idea how to be with her. What should I do?,"Should I be worried that my girlfriend texts her ex-boyfriend till 4 a.m., and if so, why?",0.0
How should ask my crush for her number?,What should I ask my crush?,0.0
What are some new marketing techniques for language schools?,What are marketing techniques for language schools?,1.0
Do cricket players really drink tea on a tea break?,Do cricketers actually drink tea during tea break?,1.0
How do I work with machine learning researchers after graduation?,How can undergraduate help with machine learning research?,0.0
How can I find out whom I sent a friend request to on Instagram?,How do you send a friend request on Instagram?,0.0
How much is the maximum gold you can take when flying from India to USA?,Why don't we fly east to go from India to USA?,0.0
What are some examples of products that can be make from crude oil?,What are some of the products made from crude oil?,1.0
What are the best daily life hacks one can use to make his life easy?,What are the hacks in daily life?,1.0
"What does the phrase ""He who does not love abides in death"" exactly mean?","What does the phrase ""love begets love"" mean?",0.0
Can excessive amounts of Vitamin C cause me to have a miscarriage?,How can Vitamin C cause a miscarriage?,1.0
What happened to Hong Kong movies and TV drama? Why did they decline so much?,Will British citizens be allowed to move to the EU and live there after Brexit happens?,0.0
How magnets are made?,What are magnets made of?,0.0
How does it feel to be a spouse of a renowned porn star?,How can I get rid of the feeling that my spouse is cheating on me?,0.0
Who wrote the Kars for Kids jingle?,I am a freelance musician. How can I get into the jingle industry?,0.0
What is the meaning of life? Whats our purpose on Earth?,What do you feel is the purpose of life?,1.0
What are the home remedies for piles or anal fissure?,How do I cure anal fissure permanently with home remedies?,1.0
What are the best schools to study Natural language Processing in India?,Which are the best schools for studying natural language processing?,0.0
What's it like dating a gangster?,I'm 51 can I date a man in his 30's?,0.0
What can be done to reduce the pollution of India?,What is the best way to reduce pollution in india?,1.0
Why are police lights red and blue?,Why are police lights red and/or blue?,1.0
How do I can stop hairfall?,How can I stop hairfall?,1.0
What are Balaji Viswanathan's views on caste based reservations in India?,What is Balaji Vishwanathan's view on caste based reservation system in India?,1.0
Motorola (company): Can I hack my Charter Motorolla DCX3400?,How do I hack Motorola DCX3400 for free internet?,0.0
Is it too late for me at the age of 25 thinking to start a career in photography?,I want to start my career as a photographer at age of 25. Is it too late?,1.0
Where can I watch gonulcelen with english subtitles?,Where can I watch sarrainodu with subtitles?,0.0
Has wizard magic been scientifically tested?,Have mages been scientifically tested?,1.0
Whenever its about â€œherâ€ its a very special feeling. Tried hard to forget her but she's alwys spcl. Should I stop talking to her even as a friend ?,How should I stop thinking about someone?,0.0
"What does this saying mean; ""Don't trust everything you see even salt looks like sugar""?","People say ""don't try to please others."" Does being nice to others mean pleasing them?",0.0
"Considering your position as Secretary of State gave you insight into the US's drone program, what will you do to reform the targeting process?",What was your biggest challenge as Secretary of State?,0.0
"In C++, what are access modifiers?",What are access modifiers in Java?,0.0
Which free online language classes would allow me to go from 0 to fluent in Portuguese given their provided courses of study?,Suggest me some free online courses that provides certificates?,0.0
What are some really good and famous romantic comedy movies?,What are the best romantic comedy movies?,1.0
Who are the best custom kiosk manufacturers in India?,Who is the best manufacturer of customized kiosk in India?,0.0
What does the 10/6 label on the Mad Hatter's hat mean?,How do you find a figure labeled this way in a textbook?,0.0
Can we switch roles at Amazon?,How important is the role of TPM at Amazon?,0.0
Why can't we fall asleep on some days?,Why do we fall asleep?,0.0
What are the non-invasive blood glucose monitoring systems abroad?,What are the non-invasive blood glucose monitoring systems in India?,0.0
How do I be a boyfriend?,How does a girl get a boyfriend?,0.0
What is a narcissistic personality disorder?,What is narcissistic personality disorder?,1.0
How many months does it take to gain knowledge in developing Android apps from scratch?,How much time does it take to learn Android app development from scratch?,1.0
When do you use ã‚· instead of ã—?,"When do you use ""&amp;"" instead of ""and""?",0.0
What exactly is MIKE2.0 (in layman's terms)?,"What exactly is a framework, in layman's terms?",0.0
What causes a nightmare?,What causes nightmares that seem real?,1.0
How many derivatives of an object's position with respect to time have to be continuous?,When does drawing become fun?,0.0
"How do you form a hypothesis, since you haven't done any testing and don't have any test results yet?",Why do people who have done master's degrees in any field advise you not to do a master's?,0.0
What are the pros and cons of the German Shepherd dog?,What are the pros and cons of having a pet German Shepherd?,1.0
How do I send message from one Android phone to another Android phone through bluetooth?,How do I transfer my contacts from one Android phone to another Android phone?,0.0
How should I prepare for CA final law?,How one should know that he/she completely prepare for CA final exam?,1.0
How hard was it for Jimmy Wales to immigrate to the UK?,Why does Jimmy Wales choose to reside in London instead of the US?,0.0
What is the greatest mystery in the universe?,What is the greatest mystery of all time?,0.0
"I wish to start investing in Equity and Mutual Funds. Where should I open Demat account for best rates, transaction charges and so on? I am NRI.",I am 17 and I want to invest money in stock market where should I start?,0.0
How do I access Torbox in India?,How do I access Google.com from India?,0.0
What are the best quotes/lessons of the Assassin's Creed series?,Which assassin has the best robes in Assassin's Creed?,0.0
How do I create a new shell in a new terminal using C programming (Linux terminal)?,How do I create a new Terminal and new shell in Linux using C programming?,1.0
How do I use Twitter as a business source?,How can I use Twitter for business?,1.0
What are some mind-blowing computer tools that exist that most people don't know about?,What are some mind-blowing technologies that exist that most people don't know about?,0.0
What will be the resolution one should have for the year 2016?,What's your resolution for year 2016?,1.0
How do you potty train a 4 months Pitbull?,How do I potty train my two-month-old Labrador pup?,1.0
Is it possible to turn off indicator light on a dahua camera?,What happens when you fly into a country but they refuse you entry?,0.0
What are some of the high salary income jobs in the field of biotechnology?,What are some high paying jobs for a fresher with an M.Tech in biotechnology?,1.0
How can one improve a credit score by 100 points?,Which army would win if fights occured between US troops from WW2 and US troops from Vietnam war?,0.0
What is the best place for sex?,What is the best place to have sex from?,1.0
Where and how do the crop circles get generated?,What are crop circles?,1.0
What are some great side dishes for a minestrone soup?,"68.44% of product passes the process spec.To pass, the product must be close to average. How many standard deviations away does 68.44% represent?",0.0
What are the minimum requirements to enter MIT?,How can I join MIT?,1.0
What is latency in telecom?,How does WiFi latency compare to Wired Ethernet?,0.0
Why do you love her?,What do you love? Why?,0.0
What are the best ways to properly finger yourself?,What would be the best way of keeping yourself amused in a prison?,0.0
"How comfortably can I live in Washington DC on a $80,000 salary?","Can I live comfortably in DC on $80,000 - $114,000 salary?",1.0
If I fire a bullet backward from an aircraft going faster than the bullet; will the bullet be going backwards?,"Do bullets travel faster than the speed of sound when shot from a gun? If not, is it possible? If they do, what gun and how much devastation occurs?",0.0
How is the word 'valiant' used in a sentence?,How is the word 'contorted' used in a sentence?,0.0
Does any one have ebook of answers of wren and Martin grammer and composition?,Why did barvaria join Germany?,0.0
How do I love my body as a guy?,"How can I make my whole body more fair, if I am a wheatish Indian guy?",0.0
How do I get my ex back?,How do I ask my ex to get back together?,1.0
